"","x","y"
"1",1,2
"2",1,7
"3",2,3
"4",2,13
"5",3,4
"6",3,5
"7",3,19
"8",4,20
"9",5,25
"10",6,7
"11",6,12
"12",6,68
"13",7,8
"14",7,13
"15",7,69
"16",8,14
"17",8,70
"18",9,10
"19",9,15
"20",9,73
"21",10,11
"22",10,16
"23",10,74
"24",11,17
"25",11,75
"26",12,13
"27",12,18
"28",12,84
"29",13,14
"30",13,19
"31",13,85
"32",14,20
"33",14,86
"34",15,16
"35",15,21
"36",15,89
"37",16,17
"38",16,22
"39",16,90
"40",17,23
"41",17,91
"42",18,19
"43",18,99
"44",19,20
"45",19,25
"46",19,100
"47",20,26
"48",20,101
"49",21,22
"50",21,103
"51",22,23
"52",22,27
"53",22,104
"54",23,24
"55",23,28
"56",23,105
"57",24,106
"58",25,26
"59",25,29
"60",25,112
"61",26,30
"62",26,113
"63",27,28
"64",27,116
"65",28,117
"66",29,30
"67",29,31
"68",29,124
"69",30,32
"70",30,125
"71",31,32
"72",31,34
"73",31,140
"74",32,33
"75",32,35
"76",32,141
"77",33,142
"78",34,35
"79",34,36
"80",34,150
"81",35,37
"82",35,151
"83",36,37
"84",36,38
"85",36,159
"86",37,39
"87",37,160
"88",38,39
"89",38,167
"90",39,40
"91",39,168
"92",40,41
"93",40,42
"94",40,174
"95",41,175
"96",42,43
"97",42,178
"98",43,44
"99",43,182
"100",44,184
"101",49,50
"102",49,192
"103",50,51
"104",51,53
"105",52,54
"106",54,55
"107",56,57
"108",56,69
"109",56,205
"110",57,58
"111",57,70
"112",57,206
"113",58,59
"114",58,71
"115",58,207
"116",59,60
"117",59,72
"118",59,208
"119",60,61
"120",60,73
"121",60,209
"122",61,62
"123",61,74
"124",61,210
"125",62,63
"126",62,75
"127",62,211
"128",63,76
"129",63,212
"130",64,65
"131",64,79
"132",64,215
"133",65,66
"134",65,80
"135",65,216
"136",66,81
"137",66,217
"138",67,83
"139",67,219
"140",68,69
"141",68,84
"142",68,222
"143",69,70
"144",69,85
"145",69,223
"146",70,71
"147",70,86
"148",70,224
"149",71,72
"150",71,87
"151",71,225
"152",72,73
"153",72,88
"154",72,226
"155",73,74
"156",73,89
"157",73,227
"158",74,75
"159",74,90
"160",74,228
"161",75,76
"162",75,91
"163",75,229
"164",76,77
"165",76,92
"166",76,230
"167",77,93
"168",77,231
"169",78,79
"170",78,94
"171",78,234
"172",79,80
"173",79,95
"174",79,235
"175",80,81
"176",80,96
"177",80,236
"178",81,82
"179",81,97
"180",81,237
"181",82,83
"182",82,98
"183",82,238
"184",83,239
"185",84,85
"186",84,99
"187",84,241
"188",85,86
"189",85,100
"190",85,242
"191",86,87
"192",86,101
"193",86,243
"194",87,88
"195",87,102
"196",87,244
"197",88,89
"198",88,245
"199",89,90
"200",89,103
"201",89,246
"202",90,91
"203",90,104
"204",90,247
"205",91,92
"206",91,105
"207",91,248
"208",92,93
"209",92,106
"210",92,249
"211",93,107
"212",93,250
"213",94,95
"214",94,252
"215",95,96
"216",95,253
"217",96,97
"218",96,108
"219",96,254
"220",97,98
"221",97,109
"222",97,255
"223",98,256
"224",99,100
"225",99,111
"226",100,101
"227",100,112
"228",100,261
"229",101,102
"230",101,113
"231",101,262
"232",102,114
"233",102,263
"234",103,104
"235",103,115
"236",103,265
"237",104,105
"238",104,116
"239",104,266
"240",105,106
"241",105,117
"242",105,267
"243",106,107
"244",106,118
"245",106,268
"246",107,269
"247",108,109
"248",108,119
"249",108,272
"250",109,120
"251",109,273
"252",110,122
"253",110,276
"254",111,112
"255",111,123
"256",112,113
"257",112,124
"258",112,279
"259",113,114
"260",113,125
"261",113,280
"262",114,126
"263",114,281
"264",115,116
"265",115,128
"266",115,283
"267",116,117
"268",116,129
"269",116,284
"270",117,118
"271",117,130
"272",117,285
"273",118,131
"274",118,286
"275",119,120
"276",119,135
"277",119,290
"278",120,136
"279",120,291
"280",121,122
"281",121,138
"282",121,294
"283",122,139
"284",122,295
"285",123,124
"286",124,125
"287",124,140
"288",124,298
"289",125,126
"290",125,141
"291",125,299
"292",126,127
"293",126,142
"294",126,300
"295",127,128
"296",127,301
"297",128,129
"298",128,143
"299",128,302
"300",129,130
"301",129,144
"302",129,303
"303",130,131
"304",130,145
"305",130,304
"306",131,132
"307",131,146
"308",131,305
"309",132,306
"310",133,134
"311",133,307
"312",134,135
"313",134,308
"314",135,136
"315",135,309
"316",136,137
"317",136,310
"318",137,147
"319",137,311
"320",138,139
"321",138,148
"322",138,312
"323",139,149
"324",139,313
"325",140,141
"326",140,150
"327",140,316
"328",141,142
"329",141,151
"330",141,317
"331",142,152
"332",142,318
"333",143,144
"334",143,154
"335",143,320
"336",144,145
"337",144,155
"338",144,321
"339",145,146
"340",145,156
"341",145,322
"342",146,323
"343",147,157
"344",147,330
"345",148,149
"346",148,158
"347",148,331
"348",149,332
"349",150,151
"350",150,159
"351",150,335
"352",151,152
"353",151,160
"354",151,336
"355",152,153
"356",152,161
"357",152,337
"358",153,154
"359",153,162
"360",153,338
"361",154,155
"362",154,163
"363",154,339
"364",155,156
"365",155,164
"366",155,340
"367",156,341
"368",157,165
"369",157,349
"370",158,166
"371",158,350
"372",159,160
"373",159,167
"374",159,354
"375",160,161
"376",160,168
"377",160,355
"378",161,162
"379",161,169
"380",161,356
"381",162,163
"382",162,357
"383",163,164
"384",163,170
"385",163,358
"386",164,359
"387",165,171
"388",165,367
"389",166,172
"390",166,368
"391",167,168
"392",167,173
"393",167,372
"394",168,169
"395",168,174
"396",168,373
"397",169,175
"398",169,374
"399",170,176
"400",170,376
"401",171,177
"402",171,382
"403",172,383
"404",173,174
"405",174,175
"406",174,178
"407",174,386
"408",175,179
"409",175,387
"410",176,180
"411",176,389
"412",177,181
"413",177,393
"414",178,179
"415",178,182
"416",178,398
"417",179,183
"418",179,399
"419",180,401
"420",181,405
"421",182,183
"422",182,184
"423",182,408
"424",183,409
"425",184,185
"426",187,189
"427",188,190
"428",195,196
"429",195,208
"430",195,436
"431",196,197
"432",196,209
"433",196,437
"434",197,198
"435",197,210
"436",197,438
"437",198,199
"438",198,211
"439",198,439
"440",199,212
"441",199,440
"442",200,201
"443",200,215
"444",200,444
"445",201,216
"446",201,445
"447",202,203
"448",202,218
"449",202,447
"450",203,204
"451",203,219
"452",203,448
"453",204,220
"454",205,206
"455",205,223
"456",205,450
"457",206,207
"458",206,224
"459",206,451
"460",207,208
"461",207,225
"462",207,452
"463",208,209
"464",208,226
"465",208,453
"466",209,210
"467",209,227
"468",209,454
"469",210,211
"470",210,228
"471",210,455
"472",211,212
"473",211,229
"474",211,456
"475",212,213
"476",212,230
"477",212,457
"478",213,231
"479",213,458
"480",214,215
"481",214,234
"482",214,463
"483",215,216
"484",215,235
"485",215,464
"486",216,217
"487",216,236
"488",217,218
"489",217,237
"490",218,219
"491",218,238
"492",218,465
"493",219,220
"494",219,239
"495",219,466
"496",220,240
"497",220,467
"498",222,223
"499",222,241
"500",222,468
"501",223,224
"502",223,242
"503",223,469
"504",224,225
"505",224,243
"506",224,470
"507",225,226
"508",225,244
"509",225,471
"510",226,227
"511",226,245
"512",226,472
"513",227,228
"514",227,246
"515",227,473
"516",228,229
"517",228,247
"518",228,474
"519",229,230
"520",229,248
"521",229,475
"522",230,231
"523",230,249
