"","x"
"1",244386
"2",244477
"3",244568
"4",244569
"5",244659
"6",254304
"7",254305
"8",254306
"9",254309
"10",254310
"11",254311
"12",254395
"13",254396
"14",254397
"15",254400
"16",254401
"17",254402
"18",254486
"19",254487
"20",254488
"21",254491
"22",254492
"23",254493
"24",254494
"25",254578
"26",254579
"27",254583
"28",254584
"29",254669
"30",254670
"31",254760
"32",254761
"33",254762
"34",254851
"35",254852
"36",254942
"37",254943
"38",255033
"39",255034
"40",255125
"41",255126
"42",255216
"43",255307
"44",255398
"45",260566
"46",260568
"47",260592
"48",260656
"49",260658
"50",260749
"51",260750
"52",260838
"53",260841
"54",260929
"55",260930
"56",264133
"57",264134
"58",264135
"59",264136
"60",264137
"61",264138
"62",264139
"63",264140
"64",264207
"65",264208
"66",264209
"67",264211
"68",264223
"69",264224
"70",264225
"71",264226
"72",264227
"73",264228
"74",264229
"75",264230
"76",264231
"77",264232
"78",264297
"79",264298
"80",264299
"81",264300
"82",264301
"83",264302
"84",264314
"85",264315
"86",264316
"87",264317
"88",264318
"89",264319
"90",264320
"91",264321
"92",264322
"93",264323
"94",264388
"95",264389
"96",264390
"97",264391
"98",264392
"99",264405
"100",264406
"101",264407
"102",264408
"103",264410
"104",264411
"105",264412
"106",264413
"107",264414
"108",264481
"109",264482
"110",264486
"111",264496
"112",264497
"113",264498
"114",264499
"115",264501
"116",264502
"117",264503
"118",264504
"119",264572
"120",264573
"121",264576
"122",264577
"123",264587
"124",264588
"125",264589
"126",264590
"127",264591
"128",264592
"129",264593
"130",264594
"131",264595
"132",264596
"133",264661
"134",264662
"135",264663
"136",264664
"137",264665
"138",264667
"139",264668
"140",264679
"141",264680
"142",264681
"143",264683
"144",264684
"145",264685
"146",264686
"147",264756
"148",264758
"149",264759
"150",264770
"151",264771
"152",264772
"153",264773
"154",264774
"155",264775
"156",264776
"157",264847
"158",264849
"159",264861
"160",264862
"161",264863
"162",264864
"163",264865
"164",264866
"165",264938
"166",264940
"167",264952
"168",264953
"169",264954
"170",264956
"171",265029
"172",265031
"173",265043
"174",265044
"175",265045
"176",265047
"177",265120
"178",265135
"179",265136
"180",265138
"181",265211
"182",265226
"183",265227
"184",265317
"185",265408
"186",265498
"187",270306
"188",270325
"189",270397
"190",270416
"191",270505
"192",270577
"193",270579
"194",270759
"195",273964
"196",273965
"197",273966
"198",273967
"199",273968
"200",274035
"201",274036
